date,tata_steel,reliance_industries,adani_enterprises,asian_paints,bharti_airtel,bajaj_finserv,hdfc_bank,infosys,itc,hero_moto_corps,mahindra_and_mahindra,nippon_india_smallcap_fund,parag_parikh_flexi_cap_fund,hdfc_liquid_fund,sbi_liquid_fund,axis_liquid_fund,icici_pru_liquid_fund,snp_500,nasdaq_100,bitcoin,ethereum,physical_gold,sgb,pune_commercial_space
2019-04-26,4944.26,1027.6,4173.33,2019.13,1906.42,420.77,514.47,2349.56,4304.92,3615.49,838.18,467.94,950.45,15.83,17.42,18.59,12.03,486.07,461.81,278.41,279.95,4428.39,4595.13,5340.25
2019-04-27,4929.35,1037.63,4281.15,2088.35,1876.17,417.49,519.56,2404.36,4374.83,3658.59,818.19,469.66,940.05,15.84,17.44,18.6,12.04,493.33,463.9,258.36,288.76,4380.01,4572.7,5310.21
2019-04-28,5111.44,1027.15,4262.39,2042.31,1900.39,429.44,527.21,2355.78,4345.76,3641.09,829.34,469.13,935.35,15.84,17.43,18.66,12.05,489.19,459.17,233.71,273.97,4375.08,4536.22,5325.73
2019-04-29,4953.38,1012.42,4239.27,2024.01,1890.62,419.67,526.43,2333.08,4391.42,3624.55,844.88,469.49,970.57,15.84,17.47,18.69,12.05,478.65,456.11,261.74,278.34,4360.66,4585.43,5305.59
2019-04-30,4958.14,1034.42,4136.37,2010.94,1920.68,414.85,554.24,2456.87,4383.21,3616.82,834.97,492.15,976.04,15.8,17.39,18.59,12.03,478.79,455.51,287.55,277.58,4419.92,4465.45,5318.53
2019-05-01,5013.48,1029.08,4187.48,2028.45,1919.04,426.26,541.43,2373.84,4297.06,3613.31,834.42,475.98,953.62,15.85,17.38,18.67,12.03,490.8,460.37,253.66,283.03,4363.43,4477.25,5319.59
2019-05-02,4869.35,1008.89,4126.93,2073.2,1882.13,431.75,534.88,2274.05,4295.26,3653.96,835.17,469.4,927.67,15.85,17.45,18.62,12.01,506.35,450.24,262.54,288.08,4398.47,4535.84,5320.18
2019-05-03,4979.96,1008.59,4002.68,2008.5,1855.94,411.66,521.48,2442.77,4418.9,3557.14,822.49,458.58,949.02,15.85,17.48,18.66,12.04,466.32,463.16,270.11,294.11,4345.48,4559.78,5331.84
2019-05-04,4997.93,1053.88,4090.71,2056.78,1905.36,424.63,529.34,2263.59,4330.34,3717.03,840.29,464.22,929.33,15.84,17.45,18.63,12.04,496.45,456.33,264.21,288.79,4337.18,4483.42,5355.95
2019-05-05,4887.37,1055.35,4115.02,1993.55,1901.87,428.52,524.19,2403.94,4478.68,3544.89,872.38,459.23,963.33,15.89,17.44,18.63,12.03,483.97,449.31,266.28,283.78,4389.16,4529.44,5322.17
2019-05-06,5012.08,1032.89,4062.74,2001.43,1894.92,414.61,542.46,2485.91,4301.67,3771.51,822.7,464.34,922.63,15.88,17.44,18.62,11.51,475.64,453.21,257.47,296.37,4365.49,4497.51,5334.07
2019-05-07,5059.14,1043.13,4014.81,1978.6,1934.29,423.94,531.78,2427.83,4340.21,3581.05,819.02,474.07,945.77,15.87,17.45,18.64,11.49,490.58,462.32,248.68,277.28,4440.67,4567.61,5371.08
2019-05-08,5049.66,1027.32,4175.85,2084.87,1890.97,429.99,530.64,2346.42,4290.36,3589.55,853.46,468.04,958.46,15.87,17.44,18.64,11.5,486.79,454.36,256.57,287.07,4369.73,4516.52,5341.28
2019-05-09,5029.57,1045.01,4124.32,2029.87,1923.29,415.66,519.15,2325.51,4359.17,3645.92,815.0,475.86,968.85,15.87,17.51,18.61,11.51,499.66,464.75,276.36,294.4,4420.92,4555.59,5345.03
2019-05-10,4997.84,1016.72,4226.25,2050.22,1920.55,418.46,518.24,2329.34,4400.25,3667.44,859.04,468.15,985.59,15.86,17.48,18.69,11.51,471.11,454.0,259.86,283.53,4387.83,4509.97,5344.04
2019-05-11,5024.9,1019.91,4112.63,1988.78,1925.02,412.83,518.67,2367.24,4355.98,3779.33,845.61,478.27,955.78,15.89,17.47,18.65,11.5,480.66,458.03,275.74,282.46,4362.19,4591.0,5336.79
2019-05-12,4965.79,1033.76,4258.86,2094.07,1932.31,429.85,515.28,2354.39,4383.27,3697.03,817.72,488.69,940.19,15.88,17.44,18.63,11.53,479.92,458.24,264.27,282.87,4413.03,4530.97,5370.17
2019-05-13,4887.01,1009.67,4173.21,2112.22,1935.33,422.75,528.01,2343.61,4347.55,3598.45,842.64,472.05,963.05,15.86,17.52,18.67,11.54,492.01,460.15,250.9,291.4,4395.12,4555.03,5357.34
2019-05-14,4842.82,1025.33,4300.16,2078.03,1917.92,426.32,531.89,2383.57,4384.28,3726.31,819.29,473.91,944.5,15.9,17.49,18.68,11.52,488.39,463.45,252.91,284.23,4416.19,4564.1,5356.34
2019-05-15,5080.27,1015.69,4212.8,2073.46,1927.13,428.12,524.09,2402.48,4420.62,3676.8,839.65,472.7,964.41,15.89,17.48,18.66,11.53,495.48,460.41,232.53,288.91,4385.91,4561.36,5369.03
2019-05-16,5019.04,1028.84,4111.99,2028.67,1895.05,416.54,530.28,2456.46,4488.18,3434.91,856.83,486.62,955.68,15.92,17.46,18.72,11.54,491.6,467.6,271.34,284.69,4330.51,4548.19,5362.76
2019-05-17,5013.6,1028.2,4088.32,2074.47,1919.37,434.42,538.38,2430.2,4418.54,3506.23,856.37,476.07,958.76,15.89,17.49,18.72,11.55,484.78,461.36,266.61,286.19,4371.97,4570.35,5366.25
2019-05-18,5019.09,1027.74,4210.35,2041.1,1914.41,420.92,533.64,2406.95,4337.42,3805.34,840.54,485.26,958.54,15.92,17.49,18.7,11.55,491.21,456.28,284.79,281.99,4390.13,4537.72,5362.61
2019-05-19,4976.16,1039.13,4255.28,2071.39,1895.64,426.55,522.84,2407.72,4368.09,3548.27,852.45,471.32,993.52,15.9,17.44,18.71,11.56,480.74,465.83,259.68,283.36,4447.71,4515.12,5377.32
2019-05-20,5125.12,1033.56,4177.18,2041.5,1912.77,430.87,533.88,2383.77,4461.79,3671.89,836.08,473.51,937.08,15.92,17.49,18.68,11.52,489.98,462.17,257.8,291.71,4396.44,4575.98,5374.34
2019-05-21,4996.73,1031.32,4150.23,2097.94,1899.78,426.52,533.1,2430.7,4398.43,3723.5,843.26,467.38,948.85,15.9,17.63,18.78,11.56,504.02,463.93,277.46,286.82,4443.91,4557.63,5364.21
2019-05-22,5018.79,1024.53,4163.29,2062.5,1910.14,431.82,521.05,2325.4,4447.44,3617.65,867.06,480.39,925.2,15.9,17.67,18.76,11.53,481.85,463.01,275.66,290.18,4401.05,4593.52,5398.4
2019-05-23,4857.35,1024.25,4232.85,2117.38,1897.91,420.99,539.7,2427.92,4440.86,3712.15,853.66,490.73,970.61,15.94,17.65,18.73,11.54,493.1,461.73,265.62,297.63,4369.26,4532.36,5375.98
2019-05-24,5005.42,1059.62,4172.83,2027.77,1924.26,424.73,541.87,2369.03,4307.5,3705.95,890.56,485.27,977.49,15.92,17.67,18.75,11.56,478.79,467.53,286.15,284.29,4403.52,4537.01,5377.85
2019-05-25,5068.68,1065.77,4241.94,2046.58,1969.55,435.58,542.18,2375.41,4462.7,3682.07,869.08,481.42,979.01,15.92,17.66,18.69,11.54,493.56,461.9,259.67,278.69,4403.64,4547.53,5374.86
2019-05-26,5043.97,1052.73,4096.77,2080.64,1927.03,429.8,518.43,2363.1,4397.0,3695.59,830.11,472.53,950.69,15.92,17.65,18.81,11.53,487.99,456.54,286.92,292.73,4390.73,4628.46,5395.38
2019-05-27,4981.99,1004.86,4169.89,2108.07,1889.29,432.45,514.67,2397.65,4478.06,3590.86,871.06,476.72,967.83,15.95,17.68,18.85,11.56,511.49,459.44,281.11,301.41,4447.11,4565.5,5378.84
2019-05-28,5161.16,1054.45,4171.11,2135.95,1905.08,430.85,530.25,2429.86,4498.51,3821.55,856.9,460.59,985.91,15.93,17.64,18.77,11.58,483.18,466.94,281.42,285.47,4405.06,4541.98,5392.83
2019-05-29,5054.59,1018.81,4283.36,2020.51,1922.79,434.68,540.79,2411.59,4425.77,3694.31,830.26,487.36,954.38,15.93,17.7,18.8,11.55,482.67,463.79,260.61,292.8,4399.65,4533.43,5361.36
2019-05-30,4984.39,1043.82,4114.19,2031.38,1963.56,426.47,539.65,2366.94,4428.58,3644.79,872.7,474.69,975.95,15.96,17.68,18.76,11.58,476.4,465.98,282.12,291.88,4404.18,4544.39,5409.68
2019-05-31,4974.14,1036.25,4330.03,2029.8,1907.95,415.02,543.79,2420.81,4422.66,3778.78,874.5,493.06,993.45,15.98,17.69,18.8,11.59,474.97,464.27,280.07,291.16,4441.58,4603.06,5404.65
2019-06-01,4985.64,1042.65,4274.07,2083.02,1935.02,429.82,543.79,2428.9,4454.01,3679.69,845.76,485.68,976.39,15.95,17.66,18.77,11.56,492.97,472.28,274.04,293.49,4356.0,4587.14,5401.15
2019-06-02,4989.98,1046.44,4137.91,2059.58,1959.6,424.55,533.3,2406.23,4481.54,3689.08,863.76,473.75,951.31,15.96,17.67,18.78,11.56,488.96,467.88,254.44,292.7,4387.93,4604.37,5410.83
2019-06-03,4820.29,1035.51,4327.19,2074.93,1916.92,428.08,535.47,2448.67,4460.39,3610.4,862.01,492.89,980.83,15.92,17.72,18.84,11.57,480.03,465.55,261.37,282.59,4435.39,4603.16,5400.21
2019-06-04,4976.96,1062.97,4291.74,2027.24,1940.34,428.75,538.53,2374.89,4463.14,3767.89,853.52,483.96,955.48,15.97,17.72,18.85,11.59,530.0,472.28,266.19,289.67,4444.36,4528.13,5409.91
2019-06-05,4948.32,1010.3,4209.85,2061.02,1914.7,429.63,553.92,2461.95,4531.33,3746.24,842.88,480.89,981.22,15.98,17.7,18.83,11.58,541.4,454.7,290.83,292.93,4443.16,4604.43,5420.41
2019-06-06,5118.7,1039.14,4080.17,2064.13,1911.68,428.82,547.49,2452.95,4441.28,3766.81,855.12,480.86,975.69,16.0,17.72,18.86,11.59,541.01,469.21,249.64,292.72,4422.52,4516.77,5424.97
2019-06-07,5054.69,1075.06,4300.32,2106.74,1984.0,424.93,537.76,2411.69,4485.79,3700.45,849.25,471.82,988.11,15.96,17.72,18.76,11.61,548.53,464.41,268.08,293.91,4417.52,4619.25,5447.65
2019-06-08,5102.35,1030.52,4256.91,1997.78,1915.06,430.14,541.85,2500.33,4447.42,3764.18,863.86,467.77,955.73,15.97,17.7,18.75,11.58,550.24,465.58,261.63,293.98,4457.61,4582.42,5415.46
2019-06-09,5008.35,1051.45,4252.51,2089.44,1945.04,433.14,537.46,2440.91,4474.88,3777.01,876.47,476.72,997.91,15.97,17.74,18.8,11.6,552.18,470.7,253.38,287.37,4442.59,4593.42,5456.12
2019-06-10,4912.93,1048.82,4214.1,2110.48,1906.14,429.89,514.26,2386.07,4426.12,3707.07,861.86,453.78,1024.63,16.01,17.76,18.8,11.6,548.93,466.68,279.66,292.67,4485.56,4557.01,5449.72
2019-06-11,4882.71,1049.79,4217.08,2123.68,1931.37,430.46,537.59,2457.32,4485.14,3702.78,912.55,476.31,969.82,15.99,17.69,18.81,11.59,506.03,465.05,282.6,293.08,4448.37,4625.84,5447.95
2019-06-12,5134.87,1061.82,4241.9,2085.19,1957.5,424.29,543.0,2389.07,4460.77,3753.55,835.74,488.64,961.14,15.99,17.73,18.83,11.6,518.72,475.72,263.24,278.0,4453.39,4562.72,5437.16
2019-06-13,5087.8,1074.4,4312.07,2094.97,1952.07,435.36,517.37,2422.79,4488.37,3723.33,845.7,486.32,967.69,16.01,17.76,18.84,11.61,551.85,470.02,290.8,276.94,4417.05,4624.58,5437.27
2019-06-14,4968.08,1077.62,4155.2,2107.32,1927.84,423.87,563.1,2456.42,4492.22,3702.3,863.04,489.56,972.44,16.02,17.74,18.88,11.57,533.36,465.56,259.35,296.52,4462.68,4573.72,5432.86
2019-06-15,5083.76,1059.39,4148.26,2076.0,1969.84,444.21,535.81,2514.38,4575.74,3796.25,855.72,488.84,975.48,16.03,17.74,18.83,11.62,547.95,470.73,297.61,294.42,4441.13,4590.64,5438.5
2019-06-16,5140.2,1073.34,4154.79,2086.42,1934.6,437.44,513.79,2443.19,4464.55,3655.89,864.51,479.56,956.3,16.01,17.75,18.85,11.62,537.68,463.09,276.2,296.33,4451.24,4627.08,5443.92
2019-06-17,5010.24,1056.05,4232.86,2160.03,1939.54,431.66,540.03,2387.76,4506.09,3810.92,866.31,484.47,978.1,16.04,17.75,18.88,11.62,552.47,474.39,264.66,308.84,4445.38,4632.09,5444.6
2019-06-18,5479.24,1034.32,4153.9,2129.31,1951.98,435.47,544.22,2376.07,4449.45,3761.32,848.54,482.14,981.11,16.02,17.75,18.85,11.62,535.83,479.71,267.42,299.6,4436.9,4522.96,5422.73
2019-06-19,5026.52,1076.01,4220.27,2064.59,1943.3,425.9,543.14,2493.16,4494.19,3712.69,877.87,481.42,959.96,16.05,17.79,18.88,11.61,542.93,470.39,287.08,305.36,4444.53,4616.35,5436.7
2019-06-20,5154.87,1070.3,4298.82,2065.74,1964.85,426.22,536.1,2386.64,4474.07,3818.67,864.4,491.58,991.07,16.05,17.79,18.84,11.64,534.8,469.18,307.63,305.77,4514.05,4674.44,5434.55
2019-06-21,5090.72,1015.74,4221.0,2156.73,1952.46,428.25,514.8,2486.13,4482.32,3763.07,848.78,475.11,988.33,16.03,17.79,18.9,11.65,548.8,468.23,275.08,291.61,4499.48,4663.48,5449.41
2019-06-22,5123.38,1082.81,4179.52,2107.46,1932.2,444.55,534.91,2412.48,4443.31,3752.81,835.24,490.93,961.48,16.01,17.78,18.86,11.6,537.82,474.78,283.87,290.81,4492.23,4672.63,5449.24
2019-06-23,5279.75,1069.14,4253.47,2178.34,1940.52,427.82,555.06,2448.28,4491.2,3822.11,837.07,484.36,962.01,16.06,17.76,18.85,11.63,547.77,474.51,295.21,289.92,4443.5,4578.1,5450.68
2019-06-24,5001.14,1062.5,4385.03,2140.37,1962.17,431.03,539.13,2466.44,4435.95,3852.75,868.65,474.66,972.5,16.03,17.8,18.93,11.63,537.15,467.91,286.37,281.02,4504.51,4571.18,5457.71
2019-06-25,4946.73,1060.82,4463.55,2125.17,1925.71,439.62,537.12,2478.86,4453.89,3650.82,856.76,487.62,978.92,16.05,17.78,18.89,11.64,532.6,479.06,285.73,308.46,4461.7,4584.57,5448.44
2019-06-26,5140.08,1080.41,4367.02,2160.47,1916.13,437.83,547.32,2365.31,4565.73,3788.34,845.84,488.75,1000.02,16.06,17.8,18.94,11.61,549.91,473.22,254.85,297.03,4502.99,4555.55,5471.6
2019-06-27,5052.11,1040.08,4228.81,2062.59,1952.96,433.59,555.45,2452.2,4455.0,3715.74,882.06,501.01,986.13,16.05,17.87,18.89,11.65,544.23,467.12,290.65,297.93,4469.99,4672.88,5485.57
2019-06-28,5064.2,1073.92,4244.51,2099.24,1907.54,438.16,552.28,2469.58,4526.26,3786.29,845.87,482.86,1009.66,16.04,17.83,18.88,11.62,532.82,475.56,242.07,301.59,4444.44,4628.21,5440.9
2019-06-29,5126.35,1068.5,4266.15,2077.89,1995.45,431.49,551.67,2407.57,4573.4,3740.58,881.22,482.93,999.97,16.06,17.81,18.84,11.63,538.62,472.54,277.23,296.84,4411.31,4655.78,5474.62
2019-06-30,5011.26,1060.55,4281.67,2122.17,1975.06,439.64,546.53,2369.26,4588.55,3622.57,865.5,487.81,985.38,16.06,17.82,18.92,11.63,538.63,469.64,253.96,322.78,4489.31,4577.64,5474.79
2019-07-01,5098.91,1030.58,4397.37,2119.76,1972.58,428.6,537.3,2472.39,4598.79,3733.16,859.24,471.38,965.33,16.07,17.82,18.92,11.68,522.68,466.76,277.32,285.1,4480.28,4595.54,5446.98
2019-07-02,5128.64,1067.71,4311.65,2143.32,1965.04,439.61,537.94,2440.03,4537.18,3840.26,893.91,490.47,977.9,16.05,17.84,18.92,11.64,537.89,477.53,251.33,291.66,4441.09,4597.33,5490.08
2019-07-03,5052.09,1055.64,4281.59,2137.04,1958.43,434.81,522.15,2474.59,4525.75,3741.09,836.53,482.33,1001.69,16.04,17.88,18.97,11.66,559.8,472.24,265.35,296.81,4520.68,4641.64,5479.3
2019-07-04,5187.13,1077.85,4344.53,2116.71,1974.56,445.11,549.71,2411.97,4469.56,3762.98,887.05,501.3,977.84,16.08,17.84,18.99,11.67,542.19,480.36,253.26,293.55,4474.93,4574.12,5511.24
2019-07-05,5026.91,1064.37,4380.7,2113.1,1932.2,437.57,538.75,2561.38,4637.24,3691.48,861.35,479.04,993.32,16.09,17.84,18.92,11.65,531.69,465.02,286.44,295.54,4475.53,4625.05,5489.59
2019-07-06,5131.19,1062.49,4196.02,2124.7,1986.76,445.62,543.0,2506.36,4576.52,3795.17,850.15,475.3,987.81,16.1,17.88,18.89,11.66,538.77,463.65,287.98,299.96,4428.18,4640.91,5482.32
2019-07-07,5132.38,1085.1,4280.25,2126.7,1965.91,443.87,552.91,2428.98,4516.19,3850.48,891.7,476.79,961.6,16.08,17.88,18.95,11.67,548.03,480.99,281.97,294.65,4475.96,4547.59,5502.57
2019-07-08,5252.26,1090.82,4237.26,2102.07,1960.45,434.66,548.7,2453.85,4605.72,3618.14,867.89,471.4,982.53,16.11,17.85,18.9,11.68,545.09,468.91,278.76,290.8,4464.78,4661.05,5510.62
2019-07-09,5132.33,1055.42,4253.98,2074.85,1968.87,437.5,553.24,2483.69,4553.49,3636.87,867.63,464.25,1006.62,16.08,17.86,18.98,11.69,537.81,476.42,252.58,306.06,4479.02,4628.45,5485.19
2019-07-10,4895.36,1062.07,4306.13,2141.02,2061.86,429.82,545.24,2409.04,4612.51,3807.67,880.13,489.89,979.04,16.1,17.9,18.9,11.66,548.38,482.64,272.13,293.81,4414.32,4594.43,5516.98
2019-07-11,5278.32,1071.5,4385.06,2069.52,1942.44,430.64,538.67,2471.77,4571.03,3745.22,850.23,485.47,1016.89,16.07,17.81,18.96,11.66,545.27,476.94,293.76,299.01,4473.44,4637.67,5508.73
2019-07-12,5170.46,1082.19,4273.23,2097.35,1954.93,432.88,548.23,2480.81,4590.4,3700.94,899.85,489.5,998.75,16.11,17.91,18.87,11.67,533.08,485.11,281.41,298.63,4483.02,4666.91,5503.44
2019-07-13,5149.25,1071.8,4321.39,2142.94,2022.49,447.29,549.64,2464.67,4517.78,3966.56,869.7,490.21,959.96,16.09,17.93,18.91,11.69,537.94,476.98,285.13,303.2,4514.16,4592.58,5529.47
2019-07-14,5017.03,1078.2,4411.1,2152.21,1953.95,445.29,552.2,2535.24,4519.85,3789.04,897.44,470.64,1016.21,16.13,17.92,19.0,11.68,540.16,476.09,263.29,308.47,4465.56,4596.85,5520.47
2019-07-15,5323.18,1067.66,4433.23,2117.46,2006.23,445.24,552.94,2437.83,4587.79,3671.98,877.81,512.36,968.28,16.11,17.88,19.0,11.7,558.21,476.4,301.8,308.48,4468.06,4581.05,5528.08
2019-07-16,5183.54,1084.85,4322.9,2109.22,1930.95,443.43,554.15,2538.99,4524.31,3769.44,886.71,465.92,994.34,16.11,17.94,18.98,11.7,558.75,483.33,285.53,305.95,4505.6,4684.48,5517.75
2019-07-17,5193.3,1083.6,4356.86,2124.64,1962.1,449.56,538.42,2487.86,4525.52,3850.12,897.55,491.44,976.97,16.15,17.91,19.01,11.69,543.78,480.38,275.97,300.5,4471.57,4673.25,5515.45
2019-07-18,5140.24,1083.99,4358.37,2122.61,2016.29,434.34,527.62,2447.62,4622.22,3754.49,895.95,479.96,987.14,16.15,17.89,19.0,11.68,539.23,483.63,281.31,313.76,4492.9,4624.96,5506.07
2019-07-19,5301.91,1087.61,4316.36,2141.18,1971.09,435.6,548.27,2436.25,4633.38,3590.4,884.68,478.67,1000.52,16.12,17.89,19.08,11.69,559.06,475.83,286.08,297.37,4508.99,4653.44,5518.92
2019-07-20,5235.47,1100.65,4350.22,2137.53,2017.68,436.7,550.17,2585.86,4647.33,3828.84,883.62,486.56,979.81,16.12,17.89,18.98,11.7,528.01,472.34,271.77,305.16,4499.62,4677.32,5499.32
2019-07-21,5276.59,1088.17,4259.61,2196.96,2040.66,434.06,546.74,2499.03,4570.92,3842.39,875.31,487.4,1017.23,16.16,17.94,18.98,11.7,527.46,488.45,274.99,299.34,4474.45,4592.66,5548.01
2019-07-22,5214.35,1078.93,4386.1,2159.73,2028.67,449.3,553.1,2513.18,4666.43,3833.87,871.36,483.6,994.91,16.14,17.9,19.0,11.72,556.68,476.57,271.12,306.65,4515.08,4649.45,5519.61
2019-07-23,5252.76,1061.53,4304.58,2168.87,2024.59,431.88,573.06,2503.3,4546.78,3918.73,886.38,503.32,1013.41,16.15,17.94,19.03,11.71,563.49,479.89,291.7,319.9,4421.27,4650.69,5499.32
2019-07-24,5243.86,1080.67,4455.55,2112.43,1958.31,448.68,543.25,2527.4,4545.19,3703.89,870.26,497.22,1016.87,16.16,17.94,19.03,11.7,545.25,471.07,264.73,292.72,4489.13,4667.74,5546.09
2019-07-25,5294.51,1072.08,4296.71,2128.35,1985.87,444.81,546.96,2589.18,4614.5,3725.39,892.23,494.6,1008.95,16.18,17.95,19.03,11.74,565.38,493.8,300.39,287.39,4405.88,4676.05,5558.81
2019-07-26,5162.36,1069.59,4204.67,2123.45,2004.54,447.04,540.25,2425.22,4674.58,3661.95,896.25,490.54,1002.91,16.13,17.97,19.0,11.69,526.94,475.55,280.45,307.0,4533.22,4658.72,5525.81
2019-07-27,5068.92,1082.7,4310.09,2186.77,2025.22,440.16,546.63,2433.82,4600.42,3933.79,877.08,479.1,991.68,16.18,17.97,19.07,11.7,559.3,488.43,267.04,291.96,4448.73,4617.68,5549.09
2019-07-28,5369.51,1051.8,4500.12,2102.12,2033.56,440.15,557.42,2573.66,4597.41,3921.8,915.74,489.13,1017.07,16.18,17.97,19.03,11.73,550.94,467.37,292.42,297.07,4484.75,4682.2,5535.99
2019-07-29,5363.3,1066.39,4411.84,2110.37,1990.46,450.57,548.68,2462.35,4626.35,3765.05,876.38,480.89,1020.49,16.19,17.94,19.06,11.73,550.48,479.26,286.12,303.98,4444.95,4610.97,5546.08
2019-07-30,5371.95,1067.76,4361.69,2138.23,2014.34,453.85,546.69,2489.68,4699.68,3797.84,905.57,493.3,988.41,16.19,17.9,19.06,11.73,541.08,479.02,286.25,303.22,4466.35,4635.38,5553.97
2019-07-31,5227.73,1069.48,4384.36,2149.31,2014.22,445.92,547.14,2579.3,4470.3,3769.81,881.64,498.37,998.03,16.19,17.96,19.14,11.7,555.2,477.49,261.47,302.99,4542.95,4680.6,5562.8
2019-08-01,5233.05,1094.0,4369.67,2158.93,1990.74,446.06,553.69,2515.11,4595.16,3782.0,910.75,507.59,1014.55,16.16,18.04,19.11,11.76,545.26,479.78,281.83,292.74,4449.49,4667.95,5581.76
2019-08-02,5008.38,1089.9,4343.06,2167.17,2005.22,438.61,540.86,2484.69,4623.92,3866.43,874.03,512.82,993.36,16.21,17.95,19.05,11.73,548.47,489.32,279.38,301.09,4529.41,4627.01,5540.59
2019-08-03,5066.54,1083.65,4343.36,2128.65,1950.87,448.32,540.48,2493.76,4562.66,3675.41,882.05,491.36,987.89,16.2,17.98,19.09,11.74,544.71,500.73,274.24,319.64,4481.5,4695.62,5568.65
2019-08-04,5366.12,1105.65,4327.89,2113.07,2042.84,442.57,565.8,2588.72,4650.89,3825.33,896.27,491.38,992.35,16.21,17.99,19.15,11.74,547.86,482.89,267.83,314.21,4501.42,4750.9,5542.08
2019-08-05,5319.43,1081.14,4327.45,2135.37,2004.9,436.71,555.48,2448.4,4653.89,3799.44,882.95,509.05,1000.3,16.22,17.92,19.02,11.75,553.99,480.58,284.16,301.32,4481.47,4663.8,5573.95
2019-08-06,5185.53,1045.63,4481.76,2121.64,2002.25,443.07,552.76,2529.55,4679.73,3776.28,888.59,486.43,1003.45,16.21,17.96,19.1,11.74,549.82,481.23,299.61,298.53,4550.63,4653.23,5581.21
